epoch,mseTestNetwork1,mseTestNetwork2
771,325.377,435.385,
772,325.376,435.295,
773,325.375,435.206,
774,325.375,435.116,
775,325.374,435.027,
776,325.373,434.938,
777,325.372,434.849,
778,325.371,434.76,
779,325.37,434.671,
780,325.37,434.582,
781,325.369,434.493,
782,325.368,434.404,
783,325.367,434.316,
784,325.367,434.227,
785,325.366,434.139,
786,325.365,434.051,
787,325.364,433.962,
788,325.363,433.874,
789,325.363,433.786,
790,325.362,433.698,
791,325.361,433.61,
792,325.36,433.522,
793,325.36,433.435,
794,325.359,433.347,
795,325.358,433.259,
796,325.357,433.172,
797,325.357,433.085,
798,325.356,432.997,
799,325.355,432.91,
800,325.354,432.823,
801,325.354,432.736,
802,325.353,432.649,
803,325.352,432.562,
804,325.351,432.475,
805,325.351,432.388,
806,325.35,432.302,
807,325.349,432.215,
808,325.348,432.129,
809,325.348,432.042,
810,325.347,431.956,
811,325.346,431.87,
812,325.346,431.784,
813,325.345,431.698,
814,325.344,431.612,
815,325.344,431.526,
816,325.343,431.44,
817,325.342,431.354,
818,325.341,431.269,
819,325.341,431.183,
820,325.34,431.097,
821,325.339,431.012,
822,325.339,430.927,
823,325.338,430.841,
824,325.337,430.756,
825,325.337,430.671,
826,325.336,430.586,
827,325.335,430.501,
828,325.335,430.416,
829,325.334,430.332,
830,325.333,430.247,
831,325.332,430.162,
832,325.332,430.078,
833,325.331,429.993,
834,325.33,429.909,
835,325.33,429.825,
836,325.329,429.741,
837,325.328,429.657,
838,325.328,429.572,
839,325.327,429.489,
840,325.326,429.405,
841,325.326,429.321,
842,325.325,429.237,
843,325.324,429.153,
844,325.324,429.07,
845,325.323,428.986,
846,325.322,428.903,
847,325.322,428.82,
848,325.321,428.736,
849,325.321,428.653,
850,325.32,428.57,
851,325.319,428.487,
852,325.319,428.404,
853,325.318,428.321,
854,325.317,428.239,
855,325.317,428.156,
856,325.316,428.073,
857,325.315,427.991,
858,325.315,427.908,
859,325.314,427.826,
860,325.313,427.744,
861,325.313,427.661,
862,325.312,427.579,
863,325.311,427.497,
864,325.311,427.415,
865,325.31,427.333,
866,325.31,427.251,
867,325.309,427.17,
868,325.308,427.088,
869,325.308,427.006,
870,325.307,426.925,
871,325.306,426.843,
872,325.306,426.762,
873,325.305,426.681,
874,325.304,426.599,
875,325.304,426.518,
876,325.303,426.437,
877,325.303,426.356,
878,325.302,426.275,
879,325.301,426.194,
880,325.301,426.114,
881,325.3,426.033,
882,325.299,425.952,
883,325.299,425.872,
884,325.298,425.791,
885,325.298,425.711,
886,325.297,425.63,
887,325.296,425.55,
888,325.296,425.47,
889,325.295,425.39,
890,325.294,425.31,
891,325.294,425.23,
892,325.293,425.15,
893,325.293,425.07,
894,325.292,424.991,
895,325.291,424.911,
896,325.291,424.831,
897,325.29,424.752,
898,325.289,424.673,
899,325.289,424.593,
900,325.288,424.514,
901,325.288,424.435,
902,325.287,424.356,
903,325.286,424.277,
904,325.286,424.198,
905,325.285,424.119,
906,325.284,424.04,
907,325.284,423.961,
908,325.283,423.882,
909,325.283,423.804,
910,325.282,423.725,
911,325.281,423.647,
912,325.281,423.569,
913,325.28,423.49,
914,325.279,423.412,
915,325.279,423.334,
916,325.278,423.256,
917,325.278,423.178,
918,325.277,423.1,
919,325.276,423.022,
920,325.276,422.944,
921,325.275,422.866,
922,325.274,422.789,
923,325.274,422.711,
924,325.273,422.634,
925,325.273,422.556,
926,325.272,422.479,
927,325.271,422.402,
928,325.271,422.324,
929,325.27,422.247,
930,325.269,422.17,
931,325.269,422.093,
932,325.268,422.016,
933,325.268,421.94,
934,325.267,421.863,
935,325.266,421.786,
936,325.266,421.709,
937,325.265,421.633,
938,325.265,421.556,
939,325.264,421.48,
940,325.263,421.404,
941,325.263,421.327,
942,325.262,421.251,
943,325.261,421.175,
944,325.261,421.099,
945,325.26,421.023,
946,325.259,420.947,
947,325.259,420.871,
948,325.258,420.796,
949,325.258,420.72,
